epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2297,1.11249,3.05499,1.434,0.00328,1,0.5443,0.36823,0.82599,2.83889,1.11598,0.00030006,0.00030006,0.00030006
2,53.2303,0.87598,2.06996,1.21458,0.00326,1,0.6425,0.47923,0.73256,2.60321,1.12636,0.000606613,0.000606613,0.000606613
3,67.8429,0.8979,1.66692,1.19304,0.97043,0.27273,0.6764,0.47844,0.89014,2.5323,1.23679,0.000902714,0.000902714,0.000902714
4,80.9932,0.90969,1.49369,1.15082,0.8038,0.42249,0.80698,0.58307,0.91961,2.24334,1.22267,0.00118836,0.00118836,0.00118836
5,95.9044,0.84762,1.39762,1.12885,0.83186,0.45455,0.43728,0.33431,0.86298,2.14626,1.2198,0.00146356,0.00146356,0.00146356
6,108.842,0.85994,1.22273,1.11799,0.68584,0.61978,0.66124,0.49354,1.09897,1.42081,1.25783,0.00152947,0.00152947,0.00152947
7,123.344,0.88877,1.15779,1.12557,0.77523,0.35985,0.43583,0.32743,0.94036,1.83791,1.16477,0.00150197,0.00150197,0.00150197
8,136.94,0.84753,1.0761,1.09785,0.95455,0.93651,0.98929,0.78388,0.71517,1.20865,1.066,0.00147446,0.00147446,0.00147446
9,150.46,0.87216,1.06061,1.11655,0.82734,0.75579,0.82606,0.57438,0.76522,1.23177,1.13679,0.00144696,0.00144696,0.00144696
10,163.208,0.85578,0.9939,1.09675,0.65981,0.8008,0.89956,0.65119,0.76863,1.35742,1.0763,0.00141945,0.00141945,0.00141945
11,177.121,0.81437,0.9224,1.09674,0.96759,0.97946,0.995,0.77776,0.76854,0.88779,1.06447,0.00139195,0.00139195,0.00139195
12,190.218,0.79989,0.85544,1.08413,0.71202,0.79457,0.73184,0.57452,0.78297,2.04228,1.12462,0.00136444,0.00136444,0.00136444
13,204.076,0.78729,0.86549,1.07732,0.82946,0.86742,0.91942,0.70108,0.74239,0.89621,1.05933,0.00133693,0.00133693,0.00133693
14,217.501,0.78606,0.79295,1.06874,0.81766,0.84848,0.87791,0.67877,0.86476,1.56925,1.10696,0.00130943,0.00130943,0.00130943
15,231.927,0.82327,0.86475,1.08651,0.85931,0.93561,0.9787,0.79661,0.7262,0.86832,1.04574,0.00128192,0.00128192,0.00128192
16,244.149,0.78908,0.76176,1.04976,0.96153,0.95833,0.99192,0.78923,0.82897,0.65209,1.0586,0.00125442,0.00125442,0.00125442
17,257.024,0.74828,0.7076,1.05253,0.99825,0.97055,0.995,0.84435,0.68337,0.52723,1.0195,0.00122691,0.00122691,0.00122691
18,268.978,0.7521,0.68756,1.05152,0.87917,0.93154,0.98839,0.79657,0.65094,0.57319,1.03089,0.00119941,0.00119941,0.00119941
19,282.121,0.73221,0.66829,1.03019,0.98019,1,0.995,0.82227,0.69466,0.52689,1.03047,0.0011719,0.0011719,0.0011719
20,295.054,0.75096,0.67029,1.0559,0.99015,1,0.995,0.82494,0.74467,0.4324,1.01805,0.0011444,0.0011444,0.0011444
21,307.774,0.70486,0.61775,1.01923,0.93818,0.83273,0.8955,0.74079,0.65689,0.56665,1.01279,0.00111689,0.00111689,0.00111689
22,321.729,0.74414,0.64679,1.03558,0.98553,1,0.995,0.78456,0.6986,0.46267,1.04001,0.00108938,0.00108938,0.00108938
23,335.386,0.73107,0.62483,1.02305,0.99162,1,0.995,0.85349,0.75807,0.39824,1.05315,0.00106188,0.00106188,0.00106188
24,348.594,0.71073,0.59613,1.02005,0.98808,0.97408,0.9926,0.81558,0.82216,0.43057,1.06719,0.00103437,0.00103437,0.00103437
25,362.544,0.70838,0.55703,1.01506,0.97591,0.99607,0.995,0.83792,0.73234,0.41428,1.06594,0.00100687,0.00100687,0.00100687
26,375.586,0.71344,0.58405,1.04145,0.99131,1,0.995,0.81072,0.65874,0.36658,1.0144,0.000979362,0.000979362,0.000979362
27,389.049,0.71235,0.56893,1.03155,0.89403,0.97824,0.99413,0.8065,0.81891,0.45959,1.10867,0.000951857,0.000951857,0.000951857
28,402.744,0.71711,0.53359,1.03585,0.99582,1,0.995,0.80933,0.78179,0.45977,1.10518,0.000924352,0.000924352,0.000924352
29,415.808,0.69724,0.52485,1.02662,0.98848,1,0.995,0.81626,0.79698,0.37973,1.08246,0.000896846,0.000896846,0.000896846
30,429.405,0.68648,0.54101,1.01854,0.99652,1,0.995,0.83705,0.7579,0.34939,1.09956,0.00086934,0.00086934,0.00086934
31,442.289,0.671,0.51121,0.99244,0.99409,1,0.995,0.81945,0.85966,0.37495,1.14731,0.000841835,0.000841835,0.000841835
32,455.226,0.68678,0.52568,1.00215,0.95584,0.98033,0.98538,0.81259,0.77785,0.40362,1.12089,0.000814329,0.000814329,0.000814329
33,468.906,0.69951,0.53335,1.02415,0.98902,1,0.995,0.80525,0.96343,0.41778,1.17592,0.000786824,0.000786824,0.000786824
34,482.094,0.70305,0.52391,1.0279,0.99414,1,0.995,0.84894,0.60395,0.31262,1.00461,0.000759318,0.000759318,0.000759318
35,494.964,0.67038,0.48922,1.0134,0.99232,1,0.995,0.84778,0.78229,0.38344,1.08012,0.000731813,0.000731813,0.000731813
36,506.997,0.67995,0.47729,1.01414,0.99636,1,0.995,0.83999,0.74768,0.36017,1.058,0.000704307,0.000704307,0.000704307
37,520.88,0.68923,0.45558,1.00418,0.99451,1,0.995,0.8177,0.73404,0.34908,1.04514,0.000676802,0.000676802,0.000676802
38,533.201,0.66839,0.47874,0.99025,0.99051,1,0.995,0.85105,0.68899,0.32883,1.02008,0.000649297,0.000649297,0.000649297
39,546.483,0.65598,0.46918,0.99046,0.92442,0.95781,0.99022,0.84516,0.6229,0.41635,1.00562,0.000621791,0.000621791,0.000621791
40,558.659,0.65712,0.45922,0.99978,0.97426,1,0.995,0.85748,0.63854,0.35363,0.99797,0.000594286,0.000594286,0.000594286
