epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2046,1.5645,3.32044,1.9034,0.00304,1,0.3117,0.16563,1.05645,3.1071,1.75559,0.00013336,0.00013336,0.00013336
2,31.2613,1.01671,2.87642,1.37744,0.00298,1,0.72129,0.53307,0.67846,2.76571,1.14499,0.000278714,0.000278714,0.000278714
3,35.0888,0.94555,2.38888,1.32714,0.00297,1,0.58007,0.43247,0.70255,2.64454,1.13424,0.000419117,0.000419117,0.000419117
4,39.816,0.9908,2.06257,1.33348,0.00297,1,0.5395,0.40549,0.75497,2.66293,1.18971,0.000554569,0.000554569,0.000554569
5,44.0109,1.01087,1.89059,1.34105,0.00297,1,0.68789,0.48632,0.82188,2.43591,1.23597,0.00068507,0.00068507,0.00068507
6,47.4595,0.97178,1.62008,1.25367,0.77837,0.64545,0.80807,0.55962,0.89702,2.20903,1.35069,0.00081062,0.00081062,0.00081062
7,52.5326,1.01106,1.57059,1.24649,0.82095,0.5883,0.86978,0.57244,1.13141,2.04355,1.45463,0.00093122,0.00093122,0.00093122
8,55.9281,1.05364,1.46191,1.28629,0.69923,0.881,0.91549,0.73975,0.80269,1.63409,1.24856,0.00104687,0.00104687,0.00104687
9,59.3428,1.05203,1.33799,1.26781,0.53457,0.76923,0.86871,0.65612,0.85699,1.94016,1.21874,0.00115756,0.00115756,0.00115756
10,63.3957,0.99834,1.35259,1.23055,1,0.63514,0.88741,0.67717,0.79418,1.33624,1.17244,0.00126331,0.00126331,0.00126331
11,67.6476,0.97757,1.32996,1.2103,0.90624,0.96696,0.995,0.80259,0.79913,1.26118,1.21634,0.00136411,0.00136411,0.00136411
12,71.3285,0.99682,1.29912,1.20668,0.8716,0.56976,0.65683,0.46502,0.94619,1.46716,1.39861,0.00136444,0.00136444,0.00136444
13,74.8198,0.89267,1.23342,1.17163,0.95691,0.94629,0.98964,0.72503,0.97612,0.96993,1.4867,0.00133693,0.00133693,0.00133693
14,79.3294,0.89985,1.12052,1.16368,0.79758,0.96154,0.98676,0.75389,0.82203,0.99405,1.28914,0.00130943,0.00130943,0.00130943
15,83.0251,0.9106,1.10084,1.1579,0.82162,0.79972,0.9626,0.66987,1.16169,1.4962,1.73804,0.00128192,0.00128192,0.00128192
16,86.6701,0.90858,1.12236,1.18359,0.54993,0.77361,0.69925,0.46199,1.19723,1.74638,1.54559,0.00125442,0.00125442,0.00125442
17,90.8628,0.90489,1.02111,1.13076,0.63983,0.90789,0.9683,0.78794,0.81313,1.33956,1.24515,0.00122691,0.00122691,0.00122691
18,94.4345,0.93529,0.99903,1.17729,0.76076,0.88391,0.97517,0.76277,0.92909,1.27125,1.25207,0.00119941,0.00119941,0.00119941
19,98.1349,0.92839,1.01281,1.13865,0.82863,0.95552,0.97978,0.75115,0.85763,1.17655,1.16037,0.0011719,0.0011719,0.0011719
20,102.562,0.93233,0.97405,1.15685,0.97177,0.97369,0.995,0.82609,0.85194,0.86568,1.205,0.0011444,0.0011444,0.0011444
21,106.393,0.94915,0.98295,1.17594,1,0.96178,0.995,0.79831,0.78696,0.94221,1.12572,0.00111689,0.00111689,0.00111689
22,110.089,0.96027,0.97824,1.19689,0.88315,0.8705,0.94738,0.7437,0.84134,1.14735,1.17506,0.00108938,0.00108938,0.00108938
23,113.696,0.92127,0.90571,1.16944,0.9212,0.96154,0.98844,0.77553,0.87286,0.89086,1.22125,0.00106188,0.00106188,0.00106188
24,118.268,0.89065,0.85266,1.13942,0.83718,0.96477,0.995,0.77441,0.8647,0.75586,1.18559,0.00103437,0.00103437,0.00103437
25,121.623,0.8721,0.8746,1.13831,0.93857,0.97346,0.995,0.77119,0.86918,0.84229,1.17612,0.00100687,0.00100687,0.00100687
26,124.99,0.86387,0.86353,1.1421,0.96991,1,0.995,0.77689,0.78195,0.64629,1.19316,0.000979362,0.000979362,0.000979362
27,129.377,0.89636,0.85005,1.12709,0.98625,1,0.995,0.81152,0.74273,0.59129,1.15115,0.000951857,0.000951857,0.000951857
28,133.31,0.94069,0.90736,1.16054,0.78648,0.89332,0.98964,0.77662,0.81421,0.85641,1.16506,0.000924352,0.000924352,0.000924352
29,136.875,0.87344,0.84683,1.16184,0.99008,1,0.995,0.80795,0.80731,0.5751,1.22581,0.000896846,0.000896846,0.000896846
30,141.556,0.84078,0.8294,1.10918,0.97221,1,0.995,0.83149,0.7118,0.54503,1.17057,0.00086934,0.00086934,0.00086934
31,145.489,0.78746,0.75162,1.09073,0.98361,1,0.995,0.82354,0.7116,0.46669,1.14062,0.000841835,0.000841835,0.000841835
32,148.936,0.84797,0.77447,1.09295,0.94881,1,0.995,0.81528,0.82877,0.53496,1.19775,0.000814329,0.000814329,0.000814329
33,152.376,0.85304,0.76583,1.12774,0.89917,0.95327,0.995,0.82325,0.81635,0.57016,1.19809,0.000786824,0.000786824,0.000786824
34,157.361,0.82186,0.68975,1.06589,0.91266,0.98007,0.995,0.81698,0.76086,0.55133,1.116,0.000759318,0.000759318,0.000759318
35,161.239,0.85758,0.70397,1.09079,0.97157,1,0.995,0.81288,0.80567,0.50493,1.12818,0.000731813,0.000731813,0.000731813
36,164.991,0.8275,0.7457,1.09358,0.97627,1,0.995,0.83513,0.79506,0.51665,1.14306,0.000704307,0.000704307,0.000704307
37,169.634,0.86088,0.69728,1.11575,0.98665,1,0.995,0.81309,0.7897,0.48416,1.11359,0.000676802,0.000676802,0.000676802
38,173.209,0.82485,0.69633,1.09029,0.98747,1,0.995,0.79417,0.79967,0.48451,1.13127,0.000649297,0.000649297,0.000649297
39,176.799,0.79346,0.68249,1.05805,0.98802,1,0.995,0.8056,0.77003,0.46404,1.11889,0.000621791,0.000621791,0.000621791
40,181.557,0.83681,0.71923,1.11804,0.98432,1,0.995,0.81679,0.75454,0.42949,1.10699,0.000594286,0.000594286,0.000594286
41,185.44,0.80531,0.69229,1.07251,0.98196,1,0.995,0.81672,0.76697,0.4038,1.10466,0.00056678,0.00056678,0.00056678
42,189.316,0.78922,0.67943,1.06999,0.98141,1,0.995,0.84442,0.65351,0.40824,1.0531,0.000539275,0.000539275,0.000539275
43,193.326,0.83817,0.6505,1.09183,0.98755,1,0.995,0.82452,0.68797,0.41462,1.06689,0.000511769,0.000511769,0.000511769
44,197.579,0.81182,0.68092,1.08778,0.98967,1,0.995,0.83669,0.68889,0.38644,1.11068,0.000484263,0.000484263,0.000484263
45,201.193,0.79072,0.63231,1.07983,0.99005,1,0.995,0.83785,0.65412,0.37591,1.08951,0.000456758,0.000456758,0.000456758
46,204.81,0.74678,0.61785,1.07583,0.98967,1,0.995,0.82328,0.71809,0.39789,1.12307,0.000429253,0.000429253,0.000429253
47,209.649,0.80053,0.6249,1.09415,0.9903,1,0.995,0.83252,0.76128,0.38596,1.16647,0.000401747,0.000401747,0.000401747
48,213.531,0.80443,0.61124,1.07469,0.98984,1,0.995,0.86368,0.71543,0.37986,1.15329,0.000374242,0.000374242,0.000374242
49,217.056,0.79145,0.63167,1.07443,0.99033,1,0.995,0.82833,0.65083,0.35391,1.08553,0.000346736,0.000346736,0.000346736
50,221.629,0.76031,0.60171,1.04494,0.98896,1,0.995,0.83373,0.67077,0.34492,1.07195,0.000319231,0.000319231,0.000319231
51,234.888,0.72761,0.74849,1.0837,0.99087,1,0.995,0.8467,0.67683,0.34017,1.07417,0.000291725,0.000291725,0.000291725
52,240.12,0.74118,0.69992,1.07305,0.99048,1,0.995,0.83684,0.74354,0.38244,1.13649,0.00026422,0.00026422,0.00026422
53,245.174,0.73227,0.66687,1.09192,0.98999,1,0.995,0.82946,0.79779,0.39874,1.19505,0.000236714,0.000236714,0.000236714
54,249.945,0.69291,0.63563,1.06355,0.98958,1,0.995,0.83419,0.77005,0.40867,1.16391,0.000209209,0.000209209,0.000209209
55,253.901,0.70392,0.61428,1.06547,0.98984,1,0.995,0.84005,0.72101,0.39509,1.11943,0.000181703,0.000181703,0.000181703
56,258.392,0.70785,0.69842,1.07378,0.98761,1,0.995,0.8407,0.66971,0.38021,1.07814,0.000154198,0.000154198,0.000154198
57,262.576,0.68955,0.59058,1.04867,0.98431,1,0.995,0.80461,0.66454,0.38191,1.07469,0.000126692,0.000126692,0.000126692
58,266.142,0.68109,0.59358,1.03738,0.98476,1,0.995,0.83812,0.67628,0.39051,1.08593,9.91865e-05,9.91865e-05,9.91865e-05
59,269.543,0.67857,0.61121,1.05253,0.98624,1,0.995,0.83354,0.68088,0.39699,1.09421,7.1681e-05,7.1681e-05,7.1681e-05
60,274.384,0.69219,0.5933,1.05221,0.98484,1,0.995,0.84786,0.67307,0.38584,1.09267,4.41755e-05,4.41755e-05,4.41755e-05
